epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.385314,0.520635,1.888092,0.237037,0.001,5.9231
2,0.86178,0.734921,0.817706,0.685185,0.001,4.637
3,0.640797,0.783333,0.635227,0.781481,0.001,4.5704
4,0.515496,0.824603,0.495587,0.825926,0.001,4.6139
5,0.455828,0.846032,0.39997,0.844444,0.001,4.0014
6,0.398945,0.868254,0.30528,0.903704,0.001,3.963
7,0.336404,0.881746,0.257761,0.918519,0.001,4.1358
8,0.287963,0.903175,0.720795,0.759259,0.001,4.4099
9,0.329763,0.881746,0.211382,0.911111,0.001,4.0597
10,0.256281,0.90873,0.280415,0.9,0.001,3.9631
11,0.232439,0.920635,0.244416,0.896296,0.001,4.0081
12,0.211733,0.933333,0.938845,0.714815,0.0005,4.0191
13,0.213111,0.928571,0.183046,0.944444,0.0005,4.1659
14,0.178044,0.934921,0.160681,0.937037,0.0005,3.9184
15,0.153949,0.952381,0.586984,0.792593,0.0005,3.8744
16,0.162275,0.944444,0.216767,0.925926,0.0005,4.0679
17,0.172462,0.938095,0.12819,0.944444,0.0005,4.1604
18,0.158148,0.947619,0.25726,0.925926,0.0005,3.9487
19,0.170425,0.944444,0.136962,0.959259,0.0005,4.2502
20,0.16675,0.944444,0.225968,0.914815,0.00025,4.244
