epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.335049,0.507143,0.960128,0.751852,0.001,18.6389
2,0.596987,0.845238,0.441709,0.918519,0.001,22.0992
3,0.420726,0.888889,0.324574,0.940741,0.001,22.6198
4,0.342062,0.905556,0.276326,0.940741,0.001,22.2546
5,0.287232,0.918254,0.253313,0.940741,0.001,22.4741
6,0.2891,0.915873,0.23318,0.940741,0.001,22.3157
7,0.255926,0.921429,0.202181,0.955556,0.001,23.2775
8,0.226973,0.929365,0.194669,0.955556,0.001,22.6164
9,0.276405,0.902381,0.189694,0.955556,0.001,23.435
10,0.228261,0.93254,0.162731,0.962963,0.001,18.1173
